ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (September 2019)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Daily Max,3,3,4,4,3,3,3,4,4,3,4,4,3,4,4,4
2019-09-15,01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,02,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
,03,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3
,04,3,3,4,3,3,3,4,2,2,2,3,3,4,3,3,3
,05,4,4,4,4,3,3,4,2,2,2,3,4,4,3,4,4
,06,4,4,4,4,3,3,4,2,2,2,3,4,4,4,4,4
,07,4,4,4,4,3,3,4,2,2,2,3,3,3,4,4,4
,08,4,4,4,4,3,3,4,2,2,2,3,3,4,4,4,4
,09,4,4,4,4,3,3,4,3,3,2,3,4,4,4,4,4
,10,4,4,4,4,3,3,4,3,3,3,4,4,3,4,4,4
,11,4,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4
,12,4,3,4,3,3,3,3,4,4,3,4,3,3,4,4,4
,13,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,15,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
,16,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4
,17,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4
,18,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,5
,19,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5
,20,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,5
,21,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,5
,22,4,4,4,4,4,3,4,4,4,2,4,3,4,4,4,5
,23,4,4,4,4,4,3,4,4,4,2,4,3,4,4,4,5
,24,4,4,4,4,4,3,4,4,4,2,3,3,3,4,4,4
,Daily Max,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,5
2019-09-16,01,4,4,4,4,3,3,4,4,4,2,3,3,3,4,4,4
,02,4,4,4,4,3,3,3,3*,4,2,3,3,3,4,4,4
,03,4,4,4,4,3,3,4,3*,4,2,3,3,3,4,4,4
,04,4,4,4,4,3,3,3,3,4,2,3,3,4,4,4,4
,05,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3
,06,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,07,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3
,08,3,3,4,3,3,2,3,3,3,2,3,2,3,3,3,3
,09,4,3,4,3,3,3,3,3,3,2,3,3,3,4,4,4
,10,4,3,4,3,3,3,4,3,3,3,3,3,3,4,4,4
,11,4,4,4,4,3,3,4,3,3,3,4,4,4,4,5,4
,12,4*,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4
,13,4*,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5*
,14,4*,5,5,4,4,4,5,5*,5,5,5,5,5,5,5,5*
,15,5*,5,5,5,5,5,5,5*,5,5,5,5,5,5,5,5
,16,5*,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5
,17,5,5,5,5,5,5,5,7,6,5,5,5,5,5,5,5
,18,4,4,5,5,5,5,5,6,6,4,5,4,4,5,5,5
,19,4,4,5,4,4,5,5,6,5,4,4,4,4,5,5,5
,20,4,4,5,4,4,4,5,5,4,3,4,4,4,5,5,5
,21,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5
,22,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5
,23,5,5,5,5,4,4,5,3,4,4,4,4,5,5,5,5
,24,5,5,5,5,4,4,5,3,4,4,4,5,5,5,5,5
,Daily Max,5,5,5,5,5,5,5,7,6,5,5,5,5,5,5,5
2019-09-17,01,5,5,5,4,4,4,5,3,3,4,4,5,5,5,5,5
,02,5,5,5,4,4,4,4*,3,3,4,3,5,5,5,5,5
,03,5,5,5,4,4,4,4*,3,3,4,3,4,5,4,5,5
,04,5,5,5,4,4,4,5*,3,4,3,4,4,5,4,5,4
,05,5,5,5,4,4,4,5,3,4,3,4,4,5,4,5,4
,06,5,5,5,4,4,4,5,3,4,3,4,4,5,4,5,4
,07,5,5,5,4,4,4,5,3,3,3,4,4,5,4,5,4
,08,5,5,5,4,4,4,5,3,4,3,4,4,5,5,5,4
,09,5,5,5,4,4,4,5,3,4,3,4,4,5,5,5,5
,10,5,5,5,4,4,4,5,4,4,3,4,4,5,5,5,5
,11,5,5,5,5,4,4,5,4,4,4,5,5,5,5,6,5
,12,5*,5*,5,5,5,4,5,5,5,4,5,5,5,5,6,5
,13,5*,5*,5,5,5,5,5,6,5,5,5,5,6,5,6,5
,14,6*,6,5,5,5,5,5,6,6,5,6,5,6,5,6,5
,15,6*,6,6,5,5,5,6,6,7,5,6,5,6,6,6,6
,16,6*,6,6,5,5,5,6,6,7,6,6,5,6,6,6,6
,17,6*,6,6,5,5,5,6,6,6,6,6,5,6,6,6,6
,18,6*,6,6,6,5,5,6,5,6,5,5,5,6,6,6,6
,19,6*,6,6,6,5,5,6,5,5,4,5,5,6,6,6,6
,20,6*,6,6,5,5,4,6,4,4,4,5,5,6,6,6,6
,21,6*,6,6,5,5,4,6,4,4,4,5,5,6,6,6,6
,22,6*,5,5,5,4,4,6,3,4,3,4,5,6,6,6,6
,23,5*,5,5,5,4,4,5,3,4,3,4,5,5,5,5,5
,24,5*,5,5,5,4,4,5,3,3,3,4,4,4,5,5,5
,Daily Max,6,6,6,6,5,5,6,6,7,6,6,5,6,6,6,6
2019-09-18,01,4*,4,5,4,4,4,4,3,3,3,4,4,4,5,4,4
,02,4*,4,4,4,4,3,4,3,3,3*,3,3,4,4,4,4
,03,4*,4,4,4,4,3,4,3,3,3*,3,3,3,4,4,4
,04,4*,4,4,4,3,3,4,2,3,2,3,3,3,4,4,4
,05,4*,4,4,4,3,3,4,2,3,2,3,3,4,4,4,4
,06,4*,4,4,4,3,3,4,2,3,2,3,2,4,4,4,4
,07,4*,5,4,4,3,3,4,2,3,2,3,2,4,4,4,4
,08,5*,5,4,4,3,3,4,3,3,2,3,2,4,4,5,4
,09,5*,4,5,4,3,3,4,3,3,3,3,3,4,5,5,5
,10,5*,4,5,4,4,3,4,4,4,3,4,4,4,5,5,5
,11,5*,4,5,4,4,4,4,5,5,4,5,4,5,5,5,5
,12,5,5,6,5,5,5,5,6,6,5,5,5,*,5,6,6
,13,6,6,6,6,6,5,6,7,7,6,6,6,*,6,6,6
,14,6,6,7,6,6,6,6,8,8,8,7,7,*,6,7,7
,15,7,6,6,7,6,6,6,8,9,8,8,7,*,7*,7,7
,16,7,6,6,7,6,6,6,8,10,8,8,7,*,7*,7,8
,17,7,6,6,7,6,6,6,8,10,8,8,7,*,7,7,7
,18,6,6,7,6,6,6,6,8,9,7,7,6,6*,7,6,7
,19,6,6,6,6,6,6,6,7,8,6,7,6,6*,7,6,6
,20,6,6,6,6,6,5,6,6,6,6,6,6,6*,7,6,6
,21,6,6,6,6,6,5,6,5,6,6,6,6,6,7,6,6
,22,6,6,6,6,5,5,6,5,5,5,6,5,6,6,6,6
,23,5,6,6,5,5,4,5,5,5,5,5,5,5,6,5,5
,24,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5
,Daily Max,7,6,7,7,6,6,6,8,10,8,8,7,6,7,7,8
2019-09-19,01,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5
,02,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5
,03,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5
,04,5,5,5,5,4,4,5,4,5,5,5,5,4,4,5,5
,05,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
,06,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
,07,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4
,08,4,3,4,4,3,3,4,3,4,3,3,3,4,4,4,4
,09,4,4,5,4,4,4,4,4,4,3,4,3,5,4,5,4
,10,5,4,5,5,4,4,5,5,5,4,4,4,5,5,6,5
,11,5,5,6,5,5,5,5,6,6,5,5,5,5,5,6,5
,12,6,5,6,6,6,5,6,6,6,5,6,6,6,6,7,6
,13,6,6,6,6,6,6,6,7,7,6,7*,7,6,6,7,6
,14,7,6,6,6,7,6,7,8,8*,8,8*,7,7,7,7,6
,15,7,6,7,7,7,7,7,8,8*,8,8*,8,7,7,7,7
,16,8,6,7,8,8,8,7,8,9*,9,8,8,7,7,8,8
,17,8,7,7,8,8,8,7,8,9*,9,8,8,7,8,7,8
,18,7,7,7,8,8,8,7,9,10*,9,7,8,7,8,7,8
,19,7,6,7,8,7,8,7,8,9,8,8,8,7,8,7,8
,20,7,6,7,7,6,7,7,8,8,7,8,7,6,8,7,7
,21,7,6,7,6,6,6,7,7,8,6,7,6,6,7,7,7
,22,6,6,6,6,6,5,6,6,6,5,6,6,6,7,6,6
,23,6,6,6,6,6,5,6,6,6,4,6,5,6,7,6,6
,24,6,6,6,6,5,4,6,5,6,4,5,5,5,6,6,6
,Daily Max,8,7,7,8,8,8,7,9,10,9,8,8,7,8,8,8
2019-09-20,01,6,6,6,5,5,4,5,5,5,4,5,4,5,6,6,6
,02,5,6,5,5,4,4,4,5,5,3,4,4,4,5,5,5
,03,5,5,5,5,4,3,4,4,5,3,4,4,4,5,5,5
,04,5,5,5,5,4,3,4,4,5,3,3,3,4,5,5,5
,05,5,5,5,5,4,3,4,4,4,3,3,3,4,4,5,5
,06,5,4,4,4,3,3,3,3,4,2,3,3,4,4,5,5
,07,5,4,5,4,4,3,4,3,4,2,3,3,4,4,5,5
,08,5,5,5,4,4,3,4,3,4,2,3,3,5,5,5,5
,09,5,5,5,5,4,4,5,4,4,3,4,4,5,5,6,5
,10,5,5,5,5,5,5,6,5,5,4,5,5,5,5,6,5
,11,6,6,6,6,6,5,6,6,6,5,6,6,6,6,7,6
,12,7,6,7,6,6,6,7,7,7,6,6,6,6,6,7,6
,13,7,6,7,7,6,6,7,8,8,7,7,7,6,6,7,7
,14,7,7,7,7,7,7,7,9,9,9,7,7,7,7,7,7
,15,8,7,8,8,8,8,8,9,9,9,8,8,7,7,8,7
,16,8,8,8,8,8,8,8,9,9,9,8,8,7,8,9,8
,17,9,8,9,8,8,8,8,8,8,9,8,8,7,8,9,8
,18,8,8,9,8,8,7,8,7,8,8,8,8,7,8,9,8
,19,7,7,8,7,7,6,8,7,7,7,7,7,7,7,9,7
,20,6,6,7,6,6,5,7,6,7,6,6,6,6,7,8,7
,21,6,5,6,6,5,5,6,6,6,5,5,5,5,6,7,6
,22,5,5,6,5,5,4,5,5,5,5,5,4,5,6,7,6
,23,5,5,5,5,4,4,5,5,5,4,4,4,4,6,6,5
,24,5,4,5,5,4,4,4,5,5,4,4,4,4,6,6,5
,Daily Max,9,8,9,8,8,8,8,9,9,9,8,8,7,8,9,8
2019-09-21,01,5,4,5,5,4,4,4,4,5,4,4,4,4,6,5,5
,02,5,5,5,5,4,4,4,4,4,4,3,4,4,5,5,5
,03,5,5,5,5,4,4,5,4,4,4,3,4,5,5,5,5
,04,5,5,5,5,4,4,5,4,4,4,4,4,5,4,5,5
,05,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5
,06,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5
,07,5,5,6,5,5,4,6,4,5,4,3,5,5,5,5,5
,08,5,5,6,5,5,5,6,4,5,4,4,5,5,5,5,5
,09,5,5,6,5,5,5,6,5,5,4,4,5,5,5,6,5
,10,5,6,6,5,5,5,6,5,6,5,5,6,5,5,6,5
,11,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6
,12,7,6,8,7,6,6,6,7,7,7,7,7,6,6,7,6
,13,7,7,8,7,7,7,7,8,8,7,8,8,6,7,8,7
,14,8,8,8,8,8,7,8,8,8,7,8,8,7,8,8,8
,15,8,8,9,8,8,8,8,8,8,8,8,8,7,8,9,8
,16,8,8,9,8,8,8,8,8,9,9,8,8,8,8,9,8
,17,8,8,9,8,8,8,8,8,9,9,8,8,8,9,9,8
,18,9,8,9,8,8,8,8,8,9,9,8,8,7,8,9,8
,19,8,8,8,8,8,8,8,8,9,8,8,8,7,8,9,8
,20,8,8,8,8,8,7,7,7,8,7,7,7,6,8,9,8
,21,7,7,7,7,7,6,6,6,7,6,6,6,6,7,8,7
,22,6,6,6,6,6,5,6,6,6,6,5,5,5,6,7,6
,23,6,6,6,6,5,5,5,6,6,5,5,5,5,6,7,6
,24,6,5,5,5,5,5,5,5,6,5,5,5,5,5,6,6
,Daily Max,9,8,9,8,8,8,8,8,9,9,8,8,8,9,9,8
2019-09-22,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5
,02,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,03,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5
,04,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5
,05,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5
,06,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,07,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
,08,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5
,09,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
,10,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5
,11,5,5,6,5,5,5,5,5,6,5,5,5,5,5,6,5
,12,5,6,7,6,6,5,6,6,6,5,6,6,6,6,6,5
,13,6,6,7,6,6,6,6,6,7,6,6,6,6,6,7,6
,14,6,6,7,6,6,6,7,7,7,6,6,6,6,6,7,6
,15,7,7,7,7,7,6,7,7,7,7,7,7,6,6,7,6
,16,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6
,17,7,7,7,7,7,7,7,7,7,6,7,7,6,6,8,7
,18,7,7,7,7,7,6,7,6,7,6,7,7,6,6,8,7
,19,7,7,7,7,6,6,7,6,6,6,6,6,6,7,8,6
,20,6,6,6,6,6,5,6,6,6,5,6,6,6,6,7,6
,21,6,6,6,6,5,5,6,5,6,5,5,5,5,6,7,6
,22,5,6,6,5,5,5,5,5,5,5,5,5,5,6,6,5
,23,5,5,5,5,5,5,5,5,5,4,5,5,5,6,6,5
,24,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,Daily Max,7,7,7,7,7,7,7,7,7,7,7,7,6,7,8,7
2019-09-23,01,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5
,02,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5
,03,5,5,5,4,4,4,5,4,5,4,4,4,4,4,5,4
,04,4,5,5,4,4,4,5,4,4,3,4,4,4,4,5,4
,05,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4
,06,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
,07,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
,08,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4
,09,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
,10,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4
,11,5,5,5,4,4,4,5,5,5,4,4,5,4,5,5,4
,12,5,5,6,5,5,5,5,5,5,4,5,5,5,5,6,5
,13,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6
,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6*
,15,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6*
,16,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6*
,17,6,6,6,6,6,6,6*,7,6,7*,6,6,6,6,6,5*
,18,,,,,,,,,,,,,,,,
,19,6,6,6,6,6,5,6,6,6,6*,6,6,7,6,6,6
,20,6,6,6,6,6,5,6*,6,6,6*,6,6,6,6,6,6
,21,6,6,6,6,5,5,6*,5,6,5,6,6,6,6,6,6
,22,5,5,5,5,5,5,5*,5,6,5,5,5,5,5,6,5
,23,5,5,5,5,5,5,5*,5,6,5,5,5,5,5,5,5
,24,5,5,5,5,5,4,5*,5,5,4,5,5,5,5,5,5
,Daily Max,6,6,6,6,6,6,6,7,6,7,6,6,7,6,6,6
2019-09-24,01,5,5,5,5,5,4,5*,4,5,4,4,4,5,5,5,5
,02,5,5,5,5,5,4,5*,4,5,4,4,4,5,5,5,5
,03,5,5,5,5,4,4,5*,4,5,3,4,4,4,5,5,5
,04,5,5,5,5,5,4,5*,4,5,3,4,4,4,5,5,5
,05,5,5,5,5,4,4,5*,4,5,3,3,4,3,5,5,5
,06,5,5,5,4,4,4,4*,4,5,3,3,3,3,5,5,4
,07,5,5,5,4,4,4,4*,3,4,3,3,3,4,5,5,4
,08,5,5,5,4,4,4,4*,4,4,3,3,3,4,4,5,4
,09,5,5,5,4,4,4,4*,4,4,3,4,4,4,5,5,4
,10,5,5,5,4,4,4,5*,4,5,4,5,4,5,5,5,5
,11,5,5,5,5,5,5,5*,5,5,4,5,5,5,5,6,5
,12,5,5,6,5,5*,5,5*,6,6,5,6,5,5,5,6,5
,13,6,6*,6,5,5*,5,5*,6,6,5,6,6,6,6,6,6
,14,6,6*,6,6,6,5,6*,7,6,6,6,6,6,6,6,6
,15,6,6*,6,6,6,5,6*,7,6,6,6,6,6,6,6,6
,16,6,6*,6,6,6,5,6,7,6,6,6,6,6,6,6,6
,17,6,6,6,6,5,6,6,6,7,6,6,6,6,6,6,6
,18,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6
,19,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6
,20,6,6,6,6,5,5,6,6,6,5,6,6,6,6,6,6
,21,6,6,6,6,5,5,6,5,6,5,6,6,6,6,6,6
,22,6,6,6,6,5,5,6,5,6,5,6,5,6,6,6,6
,23,6,6,6,6,5,5,6,5,6,5,6,5,6,6,6,6
,24,6,6,6,6,5,5,5,5,6,5,6,4,6,6,6,6
,Daily Max,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6
2019-09-25,01,6,6,6,6,5,5,5,5,6,4,5,4,6,6,6,6
,02,5,5,6,5,5,4,5,5,6,4,5,4,*,5,5,5
,03,5,5,5,5,5,4,5,5,5,4,5,4,*,5,5,5
,04,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5,5
,05,5,5,5,5,4,4,4,4,5,3,4,4,4,5,5,5
,06,5,5,5,5,4,4,4,4,5,3,3,3,3,5,5,5
,07,5,5,5,5,4,4,4,4,4,3,3,3,4,4,5,5
,08,5,5,5,5,4,4,5,4,4,2,3,3,4,5,5,5
,09,5,5,5,5,4,4,5,4,4,3,4,4,5,5,5,5
,10,5,5,5,5,4,4,5,4,5,4,4,4,5,5,6,5
,11,6,6,6,5,5,5,5,5,5,5,5,5,6,5,6,6
,12,6,6,6,6,6,6,6*,6,6,5,6,6*,6,6,6,6
,13,6,6,7,6,6,6,6*,7,8,6,7,7*,6,6,7,6
,14,7,7,7,7,7*,8,6*,9,9,8,8,8*,7,7,7,7
,15,8,7,7,8,8*,8,7,9,10,9,8,8*,7*,7,7,8
,16,7,7,7,8,8*,8,7,10,10+,9,9,8*,7*,7,7,8
,17,7,7,7,8,7*,8,7,9,10,8,8,8*,7,7,7,7
,18,7,7,7,7,7,7,7,8,9*,7,8,7*,7,8,7,7
,19,7,7,7,7,6,6,7,7,7*,7,7,7*,7,7,7,7
,20,7,7,7,6,6,6,6,6,7*,6,7,7*,6,7,7,7
,21,6,6,7,6,6,5,6,6,6,5,6,6*,6,7,7,6
,22,6,7,7,6,6,5,6,5,6,4,6,6*,6,7,6,6
,23,6,6,6,6,6,5,6,5,6,4,6,5*,6,6,6,6
,24,6,6,6,6,5,5,6,5,6,4,6,5*,6,6,6,6
,Daily Max,8,7,7,8,8,8,7,10,10+,9,9,8,7,8,7,8
2019-09-26,01,6,6,6,6,5,5,5,5,6,5,6,5*,6,6,6,6
,02,5,6,5,5,5,5*,5,5,6,4,5,4*,5,5,5,5
,03,5,5,5,5,5,5*,5,5,5,4,5,4*,5,5,5,5
,04,5,5,5,5,4,4,4,4,5,3,4,4*,5,5,5,5
,05,5,5,5,5,4,4,4,4,5,3,4,4*,4,4,5,5
,06,5,5,5,5,4,4,4,4,5,3,3,4*,4,4,5,5
,07,5,5,5,5,4,4,4,4,4,3,3,3*,3,4,5,5
,08,6,5,5*,5,4,4,4,4,4,3,3,3*,4,4,5,5
,09,6,5,5*,5,4,4,5,4,5,3,4,4*,5,5,6,5
,10,6,6,5*,5,5,5,5,5,5,4,5,5*,6,5,6,5
,11,6,6,5*,5,5,5,5,5,6,5,6,6*,6,6,6,6
,12,6,6,6*,6,6,6,6,6,6,5,6,6*,6,6,6,6
,13,6,6,6*,6,6,6,6,7,7,6,7,7*,6,6,7,6
,14,7,6,7*,6,7,6,6,8,8,8,7,7*,6,6,7,7
,15,7,6,7*,6,7,7,6,9,9,8,7,7*,6,6,7,7
,16,7,6,7*,6,7,7,6,9,10,8,7,7*,6,6,7,7
,17,7,6,7,6,7,7,7,9,9,7,7,7*,7,7,7,7
,18,7,7,7,6,6,6,7,8,8,7,7,7,7,7,7,7
,19,7,7,7,6,6,6,7,7,7,6,7,7,7,7,7,7
,20,7,7,7,6,6,6,7,6,6,6,7,7,7,7,7,7
,21,7,7,7,7,6,6,7,6,6,5,7,7,7,7,7,7
,22,7,7,7,7,6,6,7,5,6,4,6,6,7,7,7,7
,23,7,7,7,7,6,6,6,6,6,4,6,6,7,7,7,7
,24,7,7,6,6,6,6,6,6,7,4,6,5,7,7,7,6
,Daily Max,7,7,7,7,7,7,7,9,10,8,7,7,7,7,7,7
2019-09-27,01,6,6,6,6,6,5,6,6,6,4,6,5,7,6,6,6
,02,6,6,6,6,6,5,6,5,6,4,6,5,6,6,6,6
,03,6,6,6,6,5,5,5,5,6,3,5,4,5,5,6,6
,04,6,6,6,6,5,5,5,5,6,3,5,4,5,5,6,6
,05,6,6,6,5,5,4,5,4,5,3,5,4,5,5,6,5
,06,6,6,6,5,5,4,5,4,5,3,4,4,5,5,6,5
,07,6,6,6,5,5,4,5,4,5,3,4,4,5,5,6,5
,08,6,5,6,5,5,4,5,4,5,3,4,3,5,5,6,5
,09,6,5,6,5,5,4,5,4,5,3,4,4,5,5,6,5
,10,6,6,6,5,5,5,5,4,5,4,5,5,5,5,6,5
,11,6,6,6,5,5,6,6,5,6,5,6,6,6,6,7,6
,12,6*,6,7,6,7*,6,7,7,7,6,7,6,7,6,7,6
,13,8*,7,7,7,8*,8,8,9,9,8,8,8,8,7,8,8
,14,8*,8,8,8,8*,9,8,10,10,9,9,9,9,8,8,9
,15,9*,8,8,10,9*,10,9,10,10+,10+,10,9,9,8,9,10
,16,9*,8,9,10,9,10,9,10+,10+,10+,10,9,9,8,9,10
,17,8,8,8,9,9,10,8,10,10+,10+,10,9,8,8,8,9
,18,8,8,8,8,8,9,8,10,10+,10,10,8,8,8,8,8
,19,8,7,7,7,8,8,7,9,9,8,9,7,7,8,8,8
,20,7,7,7,7,7,7,7,8,8,7,8,7,6,7,8,7
,21,7,6,7,6,6,6,6,7,8,6,7,6,6,7,7,7
,22,6,6,6,6,6,5,6,6,7,6,6,5,5,6,7,6
,23,6,6,6,6,5,4,6,5,6,5,6,5,5,6,6,6
,24,6,6,6,6,5,4,5,5,5,4,5,4,4,6,6,6
,Daily Max,9,8,9,10,9,10,9,10+,10+,10+,10,9,9,8,9,10
2019-09-28,01,6,6,6,6,5,4,5,5,5,4,5,4,4,6,6,6
,02,6,6,6,5,5,4,5,4,5,4,5,4,4,6,6,6
,03,5,5,5,5,5,4,4,4,5,3,5,4,4,5,5,5
,04,5,5,5,5,5,4,4,4,4,3,4,4,3,5,5,5
,05,5,5,5,5,4,4,4,4,4,3,4,3,3,4,4,5
,06,5,5,5,5,4,4,4,4,4,3,4,3,3,4,4,5
,07,5,5,5,5,4,4,4,4,4,3,4,3,3,4,4,5
,08,5,5,5,5,4,4,4,4,4,3,4,3,3,4,4,5
,09,5,5,5,5,4,4,4,4,4,3,4,3,4,5,5,5
,10,5,5,6,5,5,5,5,5,5,4,5,4,4,5,6,6
,11,6,6,6,6,6,6,5,6,6,5,6,5,5,6,7,6
,12,7,7,7,7,7,7,6,8,8,6,8,7,7,7,8,7
,13,8,8,8,7,8,8,7,9,9,8,9,8,8,7,8,7
,14,9,8,8,8,9,9,8,10+,10+,10,9,9,9,8,8,8
,15,9,8,8,8,9,9,8,10+,10+,10+,9,9,8,8,8,8
,16,8,7,8,8,9,9,8,10+,10+,10+,9,9,8,8,8,8
,17,7,7,7,7,8,8,7,10,10+,10,9,8,7,7,7,8
,18,7,6,6,7,7,7,6,9,10,9,8,7,6,7,7,7
,19,7,6,6,6,6,6,6,8,8,8,8,6,6,7,6,7
,20,6,5,6,6,5,5,5,6,7,7,7,6,6,6,6,6
,21,6,5,5,5,5,5,5,6,6,6,6,5,5,6,5,5
,22,5,4,5,5,4,4,5,5,5,5,5,4,4,5,5,5
,23,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,4
,24,4,5,5,4,4,3,4,4,4,4,4,4,3,5,5,4
,Daily Max,9,8,8,8,9,9,8,10+,10+,10+,9,9,9,8,8,8
2019-09-29,01,4,5,5,4,4,3,4,4,4,4,4,3,3,5,4,4
,02,4,5,5,4,4,4,4,3,4,3,4,3,3,4,4,4
,03,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4
,04,4,4,4,4,3,4,4,3,4,3,3,3,3,4,4,4
,05,4,4,4,4,3,4,3,3,4,3,3,3,3,3,4,4
,06,4,3,3,3,3,4,3,3,4,3,3,2,2,3,3,4
,07,3,3,3,3,3,4,3,3,3,3,3,2,2,3,3,4
,08,3,3,4,3,3,4,3,3,3,2,3,2,3,3,3,4
,09,4,4,4,4,3,4,3,3,4,3,3,3,3,4,4,4
,10,5,4,5,4,4,5,5,4,4,4,4,4,4,5,5,5
,11,6,5,6,5,6,6,6,6,6,5,6,6,5,6,6,6
,12,7,7,7,7,7,7,8,8,8,7,8,8,7,7,7,7
,13,9,8,8,8,8,9,8,10,10,9,9,9,9,8,9,9
,14,10+,9,9,10,10,10+,9,10+,10+,10+,10+,10,9,9,10,10
,15,10+,9,9,10+,10+,10+,9,10+,10+,10+,10+,10+,10,9,10+,10+
,16,10+,10,10,10+,10+,10+,10,10+,10+,10+,10+,10+,9,10,10+,10+
,17,10+,10,10,10+,10+,10+,10,10,10+,10+,10+,10+,9,10,10+,10+
,18,10+,10,10,10+,10+,10+,10,10,10+,10+,10+,10+,9,10+,10+,10+
,19,10+,10,10,10+,10+,10+,10,10+,10+,10+,10,10,9,10,10+,10
,20,10+,10,10,10,10,10,10,10+,10+,10,9,9,9,10,10,10
,21,10+,10,9,9,9,9,9,10,10+,8,9,9,8,10,9,10
,22,10+,9,9,9,9,9,8,10,10+,7,8,8,7,9,9,10
,23,10+,9,10,10,8,8,8,9,10,6,7,8,6,9,9,10
,24,10+,9,10,9,8,8,7,9,10,6,7,8,6,9,10,10
,Daily Max,10+,10,10,10+,10+,10+,10,10+,10+,10+,10+,10+,10,10+,10+,10+
